,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
987,bossanova,Falsa Baiana,3EIGWioextpJQBR6XBBRxo,8,-18.608,149.544,334960,0.155,11,0.000584,0.449,0.365,0.623
988,bossanova,A Sorrir,1901FpJycte5JWwHIeLCIx,0,-11.318,171.499,105898,0.313,7,0.000259,0.0597,0.456,0.568
989,bossanova,Ciúme (Jealousy),7p6uE4Kr681uwO0I4wOFF2,0,-15.529,90.317,184013,0.257,0,0.0,0.0452,0.799,0.666
990,bossanova,São Francisco,3Wku87vvflwDHFuzN2OFAa,19,-12.384,138.396,145640,0.166,7,0.00151,0.0361,0.128,0.407
991,bossanova,Um Nome de Mulher,68DAOlJ65SkNY2I4rk8ImC,0,-7.097,98.433,128667,0.356,5,0.0,0.0481,0.378,0.499
992,bossanova,Só Danço Samba,3xLa3PKaUzRyfekcIlvl13,0,-12.705,89.992,195027,0.614,9,0.877,0.0382,0.723,0.68
993,bossanova,Samba Do Carioca,5HIBoi9tyZnkxjfDdv8tia,0,-9.664,79.112,157780,0.501,9,0.000461,0.0352,0.882,0.552
994,bossanova,Maria Ninguém (Maria Nobody),4l5gY5slYSwcDTeLgwNN3d,0,-15.956,118.662,177333,0.178,5,0.00992,0.034,0.482,0.495
995,bossanova,Telefone,3yMYorPR6ukNkOXkygIXc4,0,-10.178,103.197,150600,0.755,7,0.0,0.519,0.854,0.658
996,bossanova,Ilusão À Toa,6lfNEzrWYekJSOIETeDcfs,0,-13.115,134.69,192560,0.269,0,3.42e-05,0.0329,0.349,0.38
997,bossanova,Samba de Minha Terra,5PV8YKKZ5xCUDP9HoS5Tca,0,-19.286,83.948,141800,0.347,2,0.00441,0.0518,0.778,0.665
998,bossanova,A Rã,4OGx2EAXeR2it0ZPUveuip,0,-13.15,82.728,226800,0.607,2,0.902,0.0358,0.778,0.422
999,bossanova,Valsa Para o Ausente,6dSgq7MtoAX0mirIlOcOvu,15,-9.079,159.965,110200,0.264,8,0.0686,0.0296,0.055,0.193
1000,brazil,Preta Pretinha,0q1hmhVWdR04mZup6mR56u,52,-7.177,124.861,397493,0.561,7,7.65e-06,0.033,0.773,0.704
1001,brazil,Ai Se Eu Te Pego - Spanish Version,0sdhpuSSWjRvrVAYDyWaBc,0,-4.182,96.001,163587,0.933,11,0.0,0.0407,0.877,0.722
